time	type	info
63627193895016.508	experiment	Run 1 complete
63627193895017.297	experiment	Test accuracy: 75%
63627193895018.094	experiment	Average fixation accuracy per trial: 98%
63627193895030.508	info	Results saved.
63627193895032.727	subject	Trial history appended to subject info.
63627193898489.836	experiment	Starting run 2 of 12
63627193938793.094	scanner	TR: 001/210
63627193939528.383	info	autosave (8207ms)
63627193947739.945	scanner	TR: 005/210
63627193947744.812	experiment	block 1 start
63627193948792.469	scanner	TR: 006/210
63627193950792.133	scanner	TR: 007/210
63627193952792.602	scanner	TR: 008/210
63627193953619.586	buttonbox	pressed: responseud
63627193954792.992	scanner	TR: 009/210
63627193955657.258	buttonbox	pressed: responseud
63627193956792.109	scanner	TR: 010/210
63627193957752.836	buttonbox	pressed: responseud
63627193958793.180	scanner	TR: 011/210
63627193959517.375	buttonbox	pressed: responseud
63627193960148.383	experiment	fixations correct: 4/4 (100%)
63627193960978.680	scanner	TR: 012/210
63627193962358.023	buttonbox	pressed: responselrud
63627193962791.641	scanner	TR: 013/210
63627193962935.492	experiment	feedback (y, 1/1)
63627193964793.062	scanner	TR: 014/210
63627193965563.453	info	autosave (25899ms)
63627193991467.203	scanner	TR: 027/210
63627193991473.758	experiment	block 2 start
63627193992978.391	scanner	TR: 028/210
63627193994793.188	scanner	TR: 029/210
63627193996791.859	scanner	TR: 030/210
63627193996913.289	buttonbox	pressed: responseud
63627193998793.852	scanner	TR: 031/210
63627193999298.906	buttonbox	pressed: responseud
63627194000791.820	scanner	TR: 032/210
63627194001022.047	buttonbox	pressed: responseud
63627194002793.109	scanner	TR: 033/210
63627194003972.695	buttonbox	pressed: responseud
63627194004239.094	experiment	fixations correct: 2/4 (50%)
63627194004792.023	scanner	TR: 034/210
63627194006285.227	buttonbox	pressed: responselrud
63627194006792.086	scanner	TR: 035/210
63627194006954.969	experiment	feedback (y, 2/2)
63627194007686.398	info	autosave (2021ms)
63627194009711.930	scanner	TR: 036/210
63627194009716.188	experiment	block 3 start
63627194010792.484	scanner	TR: 037/210
63627194012792.461	scanner	TR: 038/210
63627194014791.383	scanner	TR: 039/210
63627194015266.289	buttonbox	pressed: responseud
63627194016793.695	scanner	TR: 040/210
63627194016853.180	buttonbox	pressed: responseud
63627194018582.180	buttonbox	pressed: responseud
63627194018792.766	scanner	TR: 041/210
63627194020791.812	scanner	TR: 042/210
63627194021336.688	buttonbox	pressed: responseud
63627194022043.445	experiment	fixations correct: 4/4 (100%)
63627194023140.602	scanner	TR: 043/210
63627194024791.492	scanner	TR: 044/210
63627194024933.453	experiment	feedback (n, 2/3)
