115, 63626905013575.688;
116, 63626905015574.328;
117, 63626905017574.375;
118, 63626905019575.773;
119, 63626905021574.727;
120, 63626905023575.398;
121, 63626905025576.195;
122, 63626905027576.695;
123, 63626905029574.148;
124, 63626905031574.953;
125, 63626905033575.617;
126, 63626905035576.461;
127, 63626905037577.227;
128, 63626905039577.078;
129, 63626905041574.484;
130, 63626905043575.898;
131, 63626905045574.328;
132, 63626905047575.227;
133, 63626905049574.977;
134, 63626905051574.383;
135, 63626905053574.359;
136, 63626905055574.305;
137, 63626905057575.367;
138, 63626905059574.875;
139, 63626905061574.188;
140, 63626905063575.641;
141, 63626905065574.852;
142, 63626905067576.930;
143, 63626905069575.695;
144, 63626905071577.039;
145, 63626905073576.070;
146, 63626905075575.695;
147, 63626905077576.531;
148, 63626905079574.289;
149, 63626905081574.359;
150, 63626905083576.844;
151, 63626905085575.398;
152, 63626905087574.281;
153, 63626905089573.789;
154, 63626905091575.328;
155, 63626905093574.062;
156, 63626905095573.602;
157, 63626905097575.391;
158, 63626905099576.094;
159, 63626905101576.859;
160, 63626905103575.984;
161, 63626905105575.516;
162, 63626905107576.914;
163, 63626905109575.961;
164, 63626905111575.305;
165, 63626905113573.945;
166, 63626905115573.906;
167, 63626905117573.383;
168, 63626905119573.766;
169, 63626905121575.383;
170, 63626905123573.914;
171, 63626905125574.734;
172, 63626905127576.641;
173, 63626905129573.523;
174, 63626905131576.531;
175, 63626905133573.773;
176, 63626905135576.672;
177, 63626905137574.961;
178, 63626905139574.328;
179, 63626905141574.531;
180, 63626905143573.500;
181, 63626905145574.164;
182, 63626905147573.297;
183, 63626905149576.039;
184, 63626905151574.266;
185, 63626905153573.234;
186, 63626905155575.031;
187, 63626905157576.555;
188, 63626905159573.695;
189, 63626905161574.055;
190, 63626905163574.086;
191, 63626905165575.641;
192, 63626905167574.438;
193, 63626905169576.102;
194, 63626905171574.031;
195, 63626905173574.352;
196, 63626905175573.164;
197, 63626905177576.117;
198, 63626905179573.992;
199, 63626905181573.672;
